Block	TrialType	Trial	Signal	Response	RT	SSD	keyDuration	keyDuration_startSyched	keyRT	feedback_ms	vert
1	practice	1	1	1	0.04970093800511677	1	0.06831755300663644	0.04674038500525057	-0.02157716800138587	753.2596149947494	-6.991182154926937
1	practice	2	1	1	0.7505402919996413	1	0.7482647610013373	0.7387381869993987	-0.00952657400193857	61.26181300060129	3.5151901749102397
1	practice	3	1	1	0.7674727170015103	1	0.7641749229951529	0.7502086669992423	-0.013966255995910615	49.791333000757774	3.7674930550545103
1	practice	4	1	1	0.7667795529996511	1	0.7840670280056656	0.763622664999275	-0.02044436300639063	36.37733500072504	3.773723019947065
1	practice	5	1	1	0.7672445619973587	1	0.7721345989994006	0.761212669996894	-0.010921929002506658	38.78733000310608	3.771668529914459
1	practice	6	1	1	0.7839042519990471	1	0.7922541890002321	0.7778026950036292	-0.014451493996602949	22.197304996370846	4.02716727999883
1	practice	7	1	1	0.7999506280029891	1	0.8080833710046136	0.7854351980058709	-0.022648172998742666	14.564801994129128	4.275600520084263
1	practice	8	1	1	0.8007910050000646	1	0.8161365899941302	0.7990809599941713	-0.01705562999995891	0.919040005828764	4.269969669947168
1	practice	9	1	1	0.8171594619998359	1	0.8242660690011689	0.8052047500023036	-0.019061318998865318	5.204750002303582	4.511953975013748
1	practice	10	1	1	0.8176532169964048	1	0.8322524789982708	0.8126485049942858	-0.01960397400398506	12.648504994285714	4.522589649930305
1	practice	11	1	1	0.8342423200010671	1	0.856177633999323	0.8333392700005788	-0.02283836399874417	33.33927000057879	4.760843575020553
1	practice	12	1	1	0.851032774997293	1	0.8642459680049797	0.8460220330016455	-0.01822393500333419	46.022033001645426	5.027606994952075
1	practice	13	1	1	0.8344038380018901	1	0.8400893970028847	0.8229276150013902	-0.01716178200149443	22.92761500139018	4.774952845071093
1	practice	14	1	1	0.8499059280002257	1	0.8682786019999185	0.8469004770013271	-0.021378124998591375	46.90047700132705	5.015901549957343
1	practice	15	1	1	0.8340906000012183	1	0.840088557000854	0.8281391150012496	-0.01194944199960446	28.13911500124955	4.77786714996706
1	practice	16	1	1	0.8336848399994778	1	0.8360537749977084	0.8274605329934275	-0.00859324200428091	27.460532993427435	4.752210099939257
1	practice	17	1	1	0.7502581749940873	1	0.7602584389969707	0.7441647999949055	-0.016093639002065174	55.83520000509456	3.527889099930471
1	practice	18	1	1	0.8012211199966259	1	0.8162022379983682	0.7986174129982828	-0.017584825000085402	1.3825870017172281	4.277787220014725
1	practice	19	1	1	0.8004830700010643	1	0.8121694709989242	0.7892918580037076	-0.022877612995216623	10.708141996292442	4.266205750025401
1	practice	20	1	1	0.8344698670043726	1	0.8360763490054524	0.8198896470057662	-0.016186701999686193	19.889647005766122	4.779975850067567
1	practice	21	1	1	0.7843889979994856	1	0.7761452740014647	0.7675487980013713	-0.00859647600009339	32.45120199862872	4.022485269922763
1	practice	22	1	1	0.8171840869981679	1	0.8322915739991004	0.8111272200039821	-0.02116435399511829	11.12722000398203	4.52784980505181
1	practice	23	1	1	0.8348359950032318	1	0.836075625004014	0.8186048050047248	-0.017470819999289233	18.604805004724724	4.7811403750508905
1	practice	24	1	1	0.8173348299969803	1	0.8202615049958695	0.8049803299945779	-0.015281175001291558	4.98032999457787	4.5203823249519335
1	practice	25	1	1	0.867728283003089	1	0.8801143169985153	0.8658815980015788	-0.014232718996936455	65.88159800157878	5.276722494998248
1	practice	26	1	1	0.8003391599995666	1	0.8082490579981823	0.7930318699945929	-0.0152171880035894	6.9681300054071915	4.269724419935082
1	practice	27	1	1	0.7842506649976713	1	0.7962519590000738	0.7759115679946262	-0.0203403910054476	24.088432005373804	4.022971419979294
